cause,age_interval,mortality_rate,age_interval_ll,age_interval_ul,cause_id,age_gap,age_interval_category
Stroke,15-19 ,1.3351878840556624,15,19,494,5,4
Stroke,20-24 ,2.350915087454992,20,24,494,5,5
Stroke,25-29 ,3.0927711788548016,25,29,494,5,6
Stroke,30-34 ,5.339767637488388,30,34,494,5,7
Stroke,35-39 ,9.82346256716924,35,39,494,5,8
Stroke,40-44 ,18.724290424945732,40,44,494,5,9
Stroke,45-49 ,31.929449229285744,45,49,494,5,10
Stroke,5-9 ,0.4213653369416373,5,9,494,5,11
Stroke,50-54 ,58.76939450960767,50,54,494,5,12
Stroke,55-59 ,95.14360286889924,55,59,494,5,13
Stroke,60-64 ,164.0650392389863,60,64,494,5,14
Stroke,65-69 ,270.31118973563997,65,69,494,5,15
Stroke,70-74 ,455.7699928209238,70,74,494,5,16
Stroke,75-79 ,757.6986946243547,75,79,494,5,17
Stroke,80-84 ,1276.6693313126334,80,84,494,5,18
Stroke,85-89 ,1951.5169594078147,85,89,494,5,19
Stroke,90-94 ,2557.4842738194407,90,94,494,5,20
Stroke,95+ ,3609.30746284594,95,95,494,NA,21
"Tracheal, bronchus, and lung cancer",10-14 ,0.03258810111132008,10,14,426,1,3
"Tracheal, bronchus, and lung cancer",15-19 ,0.11909326422062388,15,19,426,5,4
"Tracheal, bronchus, and lung cancer",20-24 ,0.2370624176264449,20,24,426,5,5
"Tracheal, bronchus, and lung cancer",25-29 ,0.4631656898475256,25,29,426,5,6
"Tracheal, bronchus, and lung cancer",30-34 ,1.130982769539118,30,34,426,5,7
"Tracheal, bronchus, and lung cancer",35-39 ,2.4032963524970836,35,39,426,5,8
"Tracheal, bronchus, and lung cancer",40-44 ,5.523243058895434,40,44,426,5,9
"Tracheal, bronchus, and lung cancer",45-49 ,12.389953093979903,45,49,426,5,10
"Tracheal, bronchus, and lung cancer",50-54 ,26.853183693171932,50,54,426,5,12
"Tracheal, bronchus, and lung cancer",55-59 ,49.55780206812896,55,59,426,5,13
"Tracheal, bronchus, and lung cancer",60-64 ,83.89928055228368,60,64,426,5,14
"Tracheal, bronchus, and lung cancer",65-69 ,126.6508865024524,65,69,426,5,15
"Tracheal, bronchus, and lung cancer",70-74 ,181.63058799233244,70,74,426,5,16
"Tracheal, bronchus, and lung cancer",75-79 ,224.32466568942755,75,79,426,5,17
"Tracheal, bronchus, and lung cancer",80-84 ,264.9008196734089,80,84,426,5,18
"Tracheal, bronchus, and lung cancer",85-89 ,302.47633777017637,85,89,426,5,19
"Tracheal, bronchus, and lung cancer",90-94 ,274.7260204568325,90,94,426,5,20
"Tracheal, bronchus, and lung cancer",95+ ,304.5211015570308,95,95,426,NA,21
